org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
bDoAAF5Fd63M567U,,,种猪场,2023-12-17,2024-01-31,高繁感染,ABE型
bDoAAD6k2aHM567U,,,种猪场,2024-11-01,2024-11-22,高繁感染,ABE型
bDoAAHz0wTHM567U,,,种猪场,2022-07-01,2022-08-05,高繁感染,A阳（单缺）
bDoAAa/XOVDM567U,,,种猪场,2023-05-16,2023-07-20,高繁感染,A阳（双缺）
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2023-07-07,2023-08-06,高繁感染,"ABD型,D阳"
6djM4AEREADgAb6AfwAAAcznrtQ=,,,种猪场,2024-02-08,2024-03-18,高繁感染,A阳（双缺）
FQ7IoQEgEADgEzmmCgsFAsznrtQ=,,,种猪场,2024-09-25,2024-11-10,高繁感染,A阳（单缺）
bDoAADt5M13M567U,,,种猪场,2023-01-07,2023-02-10,高繁感染,B阳
2izyf/VpQ1i5BSpqm+uXCMznrtQ=,,,种猪场,2023-12-11,2024-01-16,高繁感染,ABE型
bDoAABvH7CvM567U,,,种猪场,2024-01-03,2024-01-24,高繁感染,ABE型
XKCFPgEQEADgAT2OfwAAAcznrtQ=,,,种猪场,2023-12-12,2024-03-09,高繁感染,ABE型
bDoAABcQtDXM567U,,,种猪场,2023-01-03,2023-02-07,高繁感染,A阳（双缺）
bDoAADqYadDM567U,,,种猪场,2023-04-04,2023-04-23,高繁感染,A阳（双缺）
bDoAAHz3F9vM567U,,,种猪场,2023-05-01,2023-06-14,高繁感染,A阳（双缺）
bDoAADBG2oHM567U,,,种猪场,2023-12-26,2024-01-15,高繁感染,ABE型
e03d3f1b-010a-1000-e004-05a2c0a802deCCE7AED4,,,种猪场,2023-12-04,2024-01-20,高繁感染,D阳
bDoAAADXGsPM567U,,,种猪场,2024-02-03,2024-03-09,高繁感染,A阳（双缺）
4UdmZh3bTpW4PS8aYJQ4PMznrtQ=,,,种猪场,2024-08-20,2024-09-11,高繁感染,ABE型
bDoAAEFoW0TM567U,,,种猪场,2024-10-12,2024-11-01,高繁感染,ABE型
bDoAAKH9EM3M567U,,,种猪场,2022-12-18,2023-03-27,高繁感染,A阳（双缺）
hDYZrRrATxircipFGPTVJsznrtQ=,,,种猪场,2023-07-26,2023-09-12,高繁感染,"A阳（双缺）,A阳（单缺）"
bDoAACRRJuTM567U,,,种猪场,2023-11-12,2023-12-03,高繁感染,A阳（双缺）
MnBcDQEhEADgAH72CgsCBsznrtQ=,,,种猪场,2023-01-20,2023-02-09,高繁感染,B阳
sjEzowEYEADgB9TDCgsFAsznrtQ=,,,种猪场,2023-10-19,2023-11-17,高繁感染,ABE型
X6Ka4wEUEADgEK17CgsFAsznrtQ=,,,种猪场,2024-08-06,2024-08-27,高繁感染,D阳
bDoAABpksjDM567U,,,种猪场,2022-04-28,2022-05-27,高繁感染,B阳
Kv/utwEREADgAI9NfwAAAcznrtQ=,,,种猪场,2022-05-01,2022-06-02,高繁感染,D阳
bDoAAHz3F9vM567U,,,种猪场,2024-10-04,2024-10-30,高繁感染,A阳（双缺）
