stats_dt,pigfarm_dk,org_inv_dk,org_inv_nm,l2_org_inv_nm,l3_org_inv_nm,l4_org_inv_nm,l5_org_inv_nm,abort_qty,preg_stock_qty,abortion_1_7
2023-01-15,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,1.0,6284.0,0.0007950389569088
2023-01-15,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,2.0,2527.0,0.0031558185404339
2023-01-15,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3162.0,0.0
2023-01-15,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2373.0,0.0004212299915754
2023-01-16,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1999.0,0.0
2023-01-16,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1655.0,0.0
2023-01-16,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6436.0,0.0006211180124223
2023-01-16,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2583.0,0.0030876109610189
2023-01-16,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3163.0,0.0
2023-01-16,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2336.0,0.0004278990158322
2023-01-17,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1999.0,0.0
2023-01-17,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1581.0,0.0
2023-01-17,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,1.0,6448.0,0.0007748334108166
2023-01-17,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2633.0,0.0026515151515151
2023-01-17,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3139.0,0.0
2023-01-17,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2379.0,0.0004201680672268
2023-01-18,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1998.0,0.0
2023-01-18,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1599.0,0.0
2023-01-18,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6258.0,0.0007983394539358
2023-01-18,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2698.0,0.0022189349112426
2023-01-18,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3128.0,0.0
2023-01-18,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2354.0,0.0
2023-01-19,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,2005.0,0.0
2023-01-19,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,0.0,1646.0,0.0
2023-01-19,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,0.0,6338.0,0.0003154574132492
2023-01-19,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,1.0,2746.0,0.0021802325581395
2023-01-19,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,2.0,3228.0,0.0006191950464396
2023-01-19,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2335.0,0.0
2023-01-20,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1984.0,0.0
2023-01-20,Kv/utwEREADgAH26fwAAAcznrtQ=,Kv/utwEREADgAH26fwAAAcznrtQ=,和庆种猪场,海南温氏,（停用）琼海公司,和庆种猪场,,1.0,1658.0,0.0006027727546714
2023-01-20,bDoAAKfyFNXM567U,bDoAAKfyFNXM567U,雅星种猪场,海南温氏,（停用）琼海公司,雅星种猪场,,1.0,6337.0,0.0004731861198738
2023-01-20,bDoAAKurSXDM567U,bDoAAKurSXDM567U,戈枕种猪场,海南温氏,（停用）琼海公司,戈枕种猪场,,0.0,2782.0,0.0021520803443328
2023-01-20,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,eVFjXhD+Qkag79ZXWlvfMMznrtQ=,塔洋种猪一场,海南温氏,（停用）琼海公司,塔洋种猪一场,,0.0,3207.0,0.000623247117482
2023-01-20,jlK20QEfEADgAmz4CgsFAsznrtQ=,jlK20QEfEADgAmz4CgsFAsznrtQ=,十八种猪场,海南温氏,（停用）琼海公司,十八种猪场,,0.0,2342.0,0.0
2023-01-21,Kv/utwEREADgAH1xfwAAAcznrtQ=,Kv/utwEREADgAH1xfwAAAcznrtQ=,木排种猪场,海南温氏,（停用）琼海公司,木排种猪场,,0.0,1994.0,0.0
